எவரையும் அவர் தூற்றிப்பாடியது கிடையாது	he didnt spare anyone
இரக்கமும் யெகோவாவின் நியாயமும்	mercy and jehovahs justice
அவர் மனம் வெகுண்டது	he was frustrated
பதுளையில் இருந்து	from the
இதுதானே உங்கள் விருப்பம்	thats your choice
சிலம்பாட்டம் திண்டுக்கல் சாராதி உள்பட 50க்கும் மேற்பட்ட படங்களில் நடித்துள்ளார்	he has acted in over 50 tamil films including parasakti poompuhar and manimagudam
12வது வாரம்	day 12
அதை பாதுகாக்க வேண்டியது ஒரு அரசின் கடமை இல்லையா	is it not the governments duty to protect the honest
மாலை நேரத்தில் ஒரு சில இடங்களில் மழை பெய்தது	it drizzled for some time in the evening
இது தொடர்பாக ஏற்கனவே அந்த நிறுவனத்திற்கு நோட்டீஸ் அனுப்பப்பட்டது	a notification has already been issued in this regard
மங்கோலியாவில் இருந்து பெரிய கானின் அவையில் இருந்து திரும்பிய உடனேயே சர்தக் இறந்தார்	as soon as he returned from the court of the great khan in mongolia sartaq died
அதில் ஒன்று பெண்களுக்கானது	one among them is a female
நான் அதை சரியாகக் கவனிக்கவில்லை	i didnt get it quite right
இலங்கை கிரிக்கெட் அணியின் சகலதுறை வீரர் திசர பெரேரா இலங்கை இராணுவத்தின் தன்னார்வ படைப் பிரிவில் இணைந்துள்ளார்	sri lanka allrounder thisara perera has joined the sri lanka army as a major
சம்பவம் பற்றி முழுமையாக விசாரிப்பதாக அவர் உறுதி அளித்தார்	he assured a thorough investigation into the incident
15 வருடங்களாக செஸிலியா என்பவர் கரீபியன் தீவுகள் ஒன்றில் விபசாரவிடுதிகளை சொந்தமாக நடத்திவந்தார்	for 15 years cecilia owned and operated brothels in one of the caribbean islands
தற்போது அங்கு மூன்று தீயணைப்பு வாகனங்களில் வந்துள்ள தீயணைப்பு வீரர்கள் போராடி தீயை அணைத்து வருகின்றனர்	three fire brigade vehicles rushed to the spot and fought the flames
அதுவே எங்களுக்கு வெற்றிதான்	that is our victory
அலைகளே இல்லை	there is no wave
குற்றமும் தண்டனையும்	crime punishment
யாருக்கு ஆட்சி அதிகாரம்	who has the authority
என்று மன்னர் கேட்டார்	king asked
கிளையில் அடைவுகளை சென்று பார்	navigate folders in a tree
என்று அந்த இளம் பெண் சொல்லுகிறாள்	reality means little to one wearing the blindfold of infatuation
சண்டே டைம்ஸ் மற்றும் இதழ்களிலும் பணியாற்றி இருக்கிறார்	he also writes in journals and magazines
விடைகாணா விடுகதை	the ultimate riddle
அவை எங்கெங்கே உள்ளன	where re they
தற்போது இவர் தன் இன்ஸ்டாகிராம் பக்கத்தில் ஒரு வீடியோவை பதிவு செய்துள்ளார்	he posted the video on his instagram page
இது தொடர்பாக காவலாளர்கள் வழக்குப்பதிந்து சுந்தரபாண்டியனை கைது செய்தனர்	the police registered a case and arrested sandeep
பட்டாசுகள் வெடித்தன்	gunfire erupted
நில்வாண்டே அணை திட்டம்	nilwande dam project
விழாவில் பள்ளி மாணவா்களுக்கு நோட்டுப் புத்தகம் எழுது பொருள்கள் உள்ளிட்டவை வழங்கப்பட்டன	stationery and books were also provided to the students
எந்த அணியின் முயற்சி வெற்றி தருகிறது	which team will succeed
மதத்தை இழுக்காதீர்கள்	dont bring religion into this
என நீங்கள் கேட்கலாம்	such an experience can shatter your trust
நாங்கள் இன்னும் எச்சரிக்கையுடனே இருக்கிறோம் என்றார்	yet we are watchful
எப்போதும் கடவுளுக்கு  காத்திருங்கள்	show a waiting attitude
இதை தனது ட்விட்டரிலும் அவர் பதிவு செய்துள்ளார்	he posted it on his twitter as well
சர்க்கரை மற்றும் ஏலக்காய் தூளை முந்திரிக் கலவையுடன் சேர்த்து நன்கு கலக்கவும்	add sugar and mango pulp and mix well
எனினும் தேர்ந்தெடுத்த இனப்பெருக்கம் காரணமாக இது பல்வேறு நிறங்களில் காணப்படுகின்றது	whether it ever existed is doubtful if it did it is almost certainly extinct
உன்னோடு அவர் பேச வேண்டுமாம்…	he wants to talk to you
எதுக்கு யாரை குறைசொல்வது	whom do you blame
என்று கேட்கிறார் அவர்	he asks
என் உடன் பிறந்தவர்கள் ஐந்து பேர்	i have five siblings
து இட்டு கட்டிய செய்தி அல்ல	this is not a fake news
நீங்க நல்லா பண்றீங்க	you are so good
வெண்ணிலா சாறு	lime juice
மற்றவர்களுடன் நீங்கள் பழகும் விதம் எப்படி இருக்கிறது	are you obsessive about the failings and shortcomings of others
மோடிக்கு பணிந்து அக்கட்சி உள்ளது	the party is and modi is
தரத்தை எப்படி ஆராய்வது	how do we measure the quality
கடும் மழை நிலச்சரிவு வெள்ளம் ஆகியவை சேர்ந்து கேரளாவை புரட்டிப் போட்டிருக்கிறது	kerala has been ravaged by torrential rains overflowing rivers and dams and a series of landslides
இந்த பள்ளி பழமையான கட்டிடத்தில் செயல்பட்டு வருகிறது	the school is housed in a beautiful ancient building
1 லட்சம் வரை அபராதம்	upto rs 1 lakh
அந்த அளவுக்கு மில்லியன் டாலர் கேள்வியாக உள்ளது அது	thats a million dollar question
இதை தொடர்ந்தே போலீசார் என்கவுண்டரும் நடந்து உள்ளது	follow up action is also being taken by the police
இந்தக் கால அட்டவணை முக்கியமானதாய் இருக்கிறது	the blue spotted grouper for example has a particular fancy for the fairy basslets which are very common in the red sea
அவரது முதல் படம் இது கதாநாயகன் ஈ ஆர் சகாதேவன்	this is her first film
இதை நாங்கள் மட்டும் தனியாக ஒழிக்க முடியாது	we cannot do this alone
அவர் சொன்ன விதம் இருக்கே	thats what he said
சில மாதங்களாக இப்படத்தின் முன் தயாரிப்பு பணிகள் தீவிரமாக நடைபெற்றுவந்த நிலையில் அண்மையில் இப்படத்தின் படப்பிடிப்பு துவங்கியது	the preproduction work of the film began a few months back
அப்போது மழை பலமாகப் பெய்தது	it was raining heavily at the time
அவர்களுக்கு இடையே கருத்து மோதல் ஏற்பட்டுள்ளது	there is a dispute between them
இந்த வசதி மொபைல் மட்டுமின்றி வலைதளத்திற்கும் கிடைக்கிறது	this feature is available in web as well as mobile version
ஆனால் அதற்கான முயற்சியை அம்னோ முன்னெடுக்க வேண்டும்	but the effort must be made
அட்லாண்டிக் பெருங்கடலைக் கடந்து சென்ற முதல் ரேடியோ அலைகளை மார்கோனி அனுப்புதல்	marconi sends first transatlantic radio signal
அ உள்நாட்டு பயணச் சந்தைகளில் பங்கேற்றல்	participation in domestic travel marts
இதனால் அப்போதைய வெளியுறவுத்துறை அமைச்சர் போரிஸ் ஜான்சன் பிரதமர் ஆனார்	this led to the entry of former foreign minister boris johnson as british pm
அனுப்ப வேண்டிய முகவரி	mailing address
கடைசியாக போர்வைக்கு அடியில் இருந்த பிணம் அசைவதை எவரோ கவனித்தார்	eventually somebody noticed that the corpse under the sheet was moving
இது பழிவாங்கும் நடவடிக்கை​தான் என்றார் கோபத்துடன்	this is retaliation he said
இன்றைய ஹான்பாக்	the hanbok today
நாங்கள் அப்படியென்ன பாவம் செய்தோம்	what sin have we committed
தினசரி பாட்டியிடம் தொலைபேசியில் பேசுகிறோம்	we speak on the phone every day
 அம்மா வீட்டிலயே இறந்துட்டாங்க	i recall that she died at home and that my grandparents were there
நான் என் கருத்தை நிரூபித்து விட்டேன்	i put forth my point of view
திரும்ப திரும்ப அதையே சொல்றான்	say that again
இந்த விபத்தில் 20 பேர் பலியானதாக தகவல் வெளியாகி உள்ளது	20 people have died in the incident
காப்பீட்டு மசோதா	insurance bill
கழித்தல் y இதை ஊதா வண்ணத்தில் செய்கிறேன்	minus y gonna do that y color blue
இவ்வாறு அந்தக் கடிதத்தில் கூறியுள்ளார்	said in the letter
எல்லா பிரச்சினைக்கும் ஒரு தீர்வு எப்போதும் உண்டு	for every problem there is a solution
கேஷ்பேக் கூப்பன் டிசம்பர் 31 வரை செல்லுபடியாகும்	the bug bounty programme is open till december 31
நடைபெற்று முடிந்த மக்களவை தேர்தலில் தேசிய கட்சியான காங்கிரஸ் கட்சி இந்திய அளவில் வெறும் 52 தொகுதிகள் மட்டுமே பெற்றுள்ளது	the congress won just 52 seats in the elections according to hindustan times
இந்த யோசனையை உடனே நடைமுறைப்படுத்த வேண்டும்	this suggestion must be implemented immediately
இதனை எதிர்த்து கர்நாடக அரசின் சார்பில் மேல் முறையீடு செய்யப்பட்டது	the karnataka government had filed an appeal against it in the supreme court
ஒவ்வொரு பாடலும் வெவ்வேறு சந்தத்தில் அமைந்துள்ளது	every song has a different mood
இது மற்ற எந்த நாட்டைவிடவும் அதிகளவாக உள்ளது	its higher than any other country in the world
ஐபிஎல் 2020 சிஎஸ்கே அணிக்கு இந்த சீசனில் காத்திருக்கும் பெரும் சவால்	ipl 2020 is ms dhoni fit enough to play for csk
புதிய ஓய்வூதியத் திட்டத்தை ரத்து செய்து விட்டு பழைய ஓய்வூதியத் திட்டத்தை மீண்டும் நடைமுறைப்படுத்த வேண்டும்	the old pension scheme should be introduced by withdrawing the new pension scheme
ஆனால் வயதான காலத்தில் அவருக்கும் அவருடைய மனைவிக்கும் நோய் வந்தபோது மனந்தளர்ந்து போனார்	in his later years he and his wife experienced ill health and he began to feel very discouraged
இதுதான் புதிய இந்தியாவின் வரைபடமா	is this the newindia
முன்னணி வங்கிகள் உலோகத் தயாரிப்பு நிறுவனங்கள் மற்றும் ரியல் எஸ்டேட் நிறுவனப் பங்குகள் எதிர்பாராத சரிவைச் சந்தித்தன	it capital goods oilgas and banks declined while metals and realty held fort
அதனால் நமச்சல் போன்றவை இருப்பதற்கு வாய்ப்பு இருக்கிறது	there is therefore the potential for harm
அதிக கலோரிகள் உள்ள உணவை தவிர்க்க வேண்டும்	avoid eating highcalorie foods
4 கோடி அபராதம் விதித்தது	rs 4 crore
வெற்றி பெற்ற இருவரில் மற்றொருவர் வி	favorites to win there are many
இது பரவலான பாராட்டுதலை பெற்றுள்ளது	this has been widely welcomed
இதில் நாங்கள் தலையிட விரும்பவில்லை	we dont want to intervene
நிலத்தில் சில பகுதி ஆக்கிரமிக்கப் பட்டுள்ளது	some part of the land is encroached
மத்திய அரசு தமிழகத்திற்கு தர வேண்டிய ஜிஎஸ்டி பாக்கி ரூ	the central government has released gst compensation of rs
கத்தார் அரசு அழைப்பு விடுத்ததை அடுத்து கத்தாருக்கான இந்திய தூதர் கலந்து கொள்கிறார்	indian envoy in doha kumaran will be representing india after the invite was sent by the qatari government
இவ்வளவு வயதாகியும் எனக்கு இது புலனாகவில்லையே	i dont feel that old
ஆசிரியர்கள் நலச்சங்க பொதுக்குழு கூட்டம்	teachers union holds meeting
27 கோடி நிதி ஒதுக்கி இருக்கிறது	27 lakh crore
சரியான தூக்கமும் வேண்டும்	you need proper sleep
வளர்ச்சி அடைந்த நாடாக மாறுகிறது இந்தியா	india is inching towards becoming a developed country
இறுதியாக இவர்	he was finally
நாம தப்பு செஞ்சிட்டோமே	are we wrong
1980க்குப் பிறகு பாறைநெய் விலை குறையத் தொடங்கியது	deficit spending soared in the 1980s
வன்மம் கதை	a story of violence
நிலவி வரும் அரசியல் பதற்றம்	political tension
இதன் மூலம் சிக்கல் தீர்ந்தது	that problem got solved
மாணவா்கள் மீது தாக்குதல் நடத்தியது யாா்	who beat the students
மற்ற மாநில கட்சிகள் 110 இடங்களில் முன்னிலை வகிக்கிறது	other parties were leading in 110 constituencies
1726 ல் சார்ல்ஸ் VI என்ற ஜெர்மனியின் சக்கரவர்த்தி இந்தக் குறவர் கூட்டம் தூக்கிலிடப்பட வேண்டும் என்று அறிக்கையிட்டார்	in 1726 emperor charles vi of germany declared that gypsy men were to be hanged
எதற்காக என்னை அழைத்தாய்	why call me
இதற்கு பரிகாரமும் கிடையாது	there is no solution to it
உன்னை அனுப்பியவன் யார்	who sent it
சிலர் ஜன்னல் வழியாக கீழே இறங்கி தப்பிக்க முயன்றனர்	some managed to escape through the windows
இந்தியாவில் சுற்றுலா மருத்துவம் அதிகரித்து வருகிறது	indian medical tourism is on the rise
இந்தியா பாகிஸ்தான் பிரிவினை நிகழ்ந்தது	the country was divided into india and pakistan
எங்களால் அதுமட்டும்தான் முடியும்	only we can do that
நான் அவருக்கு மகளா பொறந்ததுக்கு பெருமைப்படுறேன்	i am really proud of being his daughter
ஒரு படத்தை எடுக்கும் முன் ப்ளாஷை இயக்கு	fire flash before taking a photo
30க்கும் மேற்பட்டவர்கள் காயமடைந்தனர்	more than 30 people were injured
வீங்கிய வயிறு	swollen belly
அப்போதுதான் ஒரு அதிசயம் நடக்கிறது	then a miracle occurred
இதில் பெருந்திராளான மக்கள் கலந்து கொண்டதுடன்	people in large number took part in it
நாம் யார்னு தெரியனும்	we know who you are
ஆர் முருகதாஸின் உதவியாளராக பணியாற்றிய வெங்கட் மோகன் இயக்குநராக அறிமுகமாகும் படம் அயோக்யா	ayogya is the directional debut of i venkat mohan who worked as an associate director to ar murugadoss
அதில் நீ மிகுந்த வேதனையில் இருந்தது எனக்குத் தெரியும்	i knew the pain you were going through
s அறையில் இருந்து வெளியேறினார்foo has left the room	s has left the room
அதன்பின் டில்லிக்கு அழைத்துச் சென்றார்	then he went to delhi
தேவன் உங்கள் தகப்பனுடைய ஆடுகளை எடுத்து எனக்குத் தந்தார்	god kept taking the herd of your father away and giving it to me
இது தொடர்பான அரசாணையை ரத்து செய்ய வேண்டும்	that order has to be revoked
ரோஹித் சர்மா ஆட்டநாயகனாக தேர்வானார்	rohit sharma was chosen as player of the match
மேலும் சுவர்களின் உட்புறத்தில் மேல்பூச்சும் பூசவில்லை	the outer walls arent even plastered
இந்நிகழ்வில் பலர் கலந்துகொண்டு வணக்கம் செலுத்தினர்	many people were present on the occasion
பார்க்க கம்பீரமாக இருந்தாள்	she was looking gorgeous
ஆனால் அவரிடம் இல்லை	but he has none
இரவு வேளைகளிலேயே இச்செயற்பாடுகள் இடம்பெறுகின்றன	these things happen at night
இதுதொடர்பாக அவர் தொடர்ந்து தெரிவிக்கையில்	he further said
இதற்கு இந்த நிகழ்சி ஒரு உதாரணம்	this one is such an example
அவர் மனம் பிரகாசமானது	he is bright
பல சமயங்களில் கடும் சோதனைகளையும் சமாளித்து நின்றார்கள்	their sterling examples encourage loyal christians today
என்னுடைய அப்பா த கோல்டன் ஏஜ் என்ற பத்திரிகைக்கு சந்தா செய்திருந்தார் விழித்தெழு	my father was a subscriber to the golden age an earlier name for the awake magazine
அப்படி எவையும் கூறப்படவில்லை என்றார்	nothing has been announced
அல்லது வேறு ஏதேனும் காரணமா என்றும் விசாரணை நடத்தப்படுகிறது	or are there other reasons
யோனத்தானின் விஷயத்தில் அதுதான் நடந்தது	he was the son of saul and thus in line to be king over all israel
நான் அசந்து போயிட்டேன்	i was mad
இதனால் எனக்கு …	thus i
உண்மை சம்பவத்தை மையமாக வைத்து இந்த திரைப்படத்தின் கதை உருவாகியுள்ளது	the movie is based on a true story
ஆனால் அங்கு அனைவரையும் தங்க வைக்க முடியாது	but not all can be accommodated
ஒவ்வொரு நாளும் வேறு வேறாக மாற்றினால் என்ன	what if the environment changes every day
பின்பு இவர் கொட்டாவி விட்டு மிதந்து மெல்ல திரும்பிக் கொண்டார்	then he abruptly turned his back and walked away
நிதி தட்டுப்பாடு	financial lacuna
ஒருவன் விழுந்தால் அவன் உடனாளி அவனைத் தூக்கிவிடுவான் ​ ⁠ சாலொமோன் ராஜா	a happy and truly rewarding life depends on a good relationship with jehovah the most high over all the earth psalm 83 18
என்றபோதிலும் கடவுளுடைய நோக்கம் நிச்சயமாக நிறைவேறும்	yet gods purpose will be fulfilled
நரம்புகள் புடைத்து	jangling nerves
அல்லது கெட்டவளா	or a bad one
பணவரவு மேம்படும்	finance will improve
இருப்பினும் கடிதம் அனுப்பிய நபர் பற்றிய விவரம் எதையும் பொலிஸார் தரப்பில் தெரிவிக்கவில்லை	however details of the report were not disclosed by the police
