சத்குரு ட்வீட்	sadhguru tweet
இது திணிப்பு அல்ல	this is not culling
இது இந்தியாவின் வடகிழக்கு மாநிலம்	it is the easternmost district in india
இதையடுத்து தனது முதல் இன்னிங்ஸை தொடங்கிய அவுஸ்திரேலிய அணி 300 ரன்களுக்கு ஆட்டமிழந்தது	australia scored 300 in their first innings
கல்விமுறை பெயில்	educational inst
உயருகிறது இதயத்துடிப்பு	heart warming
அதில் வாழ்க்கை மிகவும் குறுகியது	lifes too short for that
பழையதை தோண்டாதீர்கள்	dont forget the old
என்ன அழகு எத்தனை அழகு	how flowy and beautiful
இந்த குறைபாடு தொடர்ந்தும் இருந்து வருவகின்றது	this disadvantage persists
இந்த படத்தில…	this film
நைவேத்யம் வெண்பொங்கல் சுண்டல் பழம் எலுமிச்சை சாதம் தயிர் சாதம்மொச்சை	fruit kiwicranberry pomegranate raspberries passion fruit
இது முறை அல்லவே	this is not such a time
அது மிக வறட்சியானதொரு கோடை காலம்	it has been a very humid summer
புதியவை கண்டுபிடிக்கும் ஒருவரின் மிகப்பெரிய புதிய கண்டுபிடிப்பு	the protestant revival service was reaching its climax
எங்காவது தண்ணீரைத் தேடும் என்றாள்	i have to find water somewhere
மற்ற முன்னணி பேட்ஸ்மேன்கள் எவரும் 15 ரன்னைத் தாண்ட வில்லை	none of the other batters managed to score above 15
ரஹ்மான் ஆதங்கம்	reham khan
இந்தப் படத்தில் நடிகர் பிரகாஷ்ராஜின் மைத்துனர் ஜெயராமும் மும்பை மாடல் சம்பாவனியும் நடிக்கிறார்கள்	prakashrajs brotherinlaw jayaram and mumbai model sambhavani are acting in this film
எப்படி தெரியுமா	how do you know
நாம் இதை ஏற்றுக்கொள்ள வேண்டும்	we need to accept this
அவர் பாஜக தலைவர்களுடன் பேச்சுவார்த்தை நடத்தி வருகிறார் என்றார்	i have talked to bjp leaders
அது மானுடரின் இயல்பு	thats human nature
இவ்வளவு தான் இருவரும் பேசிக் கொண்டது	thats how the two got to talking
அதைப்போல் இந்த குழந்தைக்கு எந்த அசம்பாவிதமும் ஏற்படாது எனக் கூறினார்	no baby was injured in the incident
பேசறதால மட்டும் இது நடக்காது	it isnt just talk
உபகாரத்தை நான் நாடாமல் உங்கள் கணக்குக்குப் பலன் பெருகும்படியே நாடுகிறேன்	gods cause does not depend solely on the donations of the wealthy
இதனால் அவர்கள் காயம் அடைந்தனர்	they sustained injuries
வறுமை இருக்கிறது	there is poverty
400 விலையுள்ள ஒரு ஃபுல் பாட்டிலின் விலை ரூ	priced at rs 400 a bottle
அவனே காதலன்	he is love
தொடர்ந்து தெரிவித்த அவர் தமிழகத்தில் இதுவரை ரூ	he said rs
மாநிலம் இரண்டாக பிரிக்கப்பட்டு காஷ்மீர் லடாக் யூனியன் பிரதேசங்களாக அறிவித்தது	the state has been split into two union territories uts jammu and kashmir and ladakh
நேத்தே வந்திருக்கணும்	just arrived
நிச்சயமாக நீரும் மரிப்பவர் நிச்சயமாக அவர்களும் மரிப்பவர்களே	you will die and they will die
எப்படி பள்ளிச் செலவைக் குறைப்பது டார்க்கோசின் வேலை இல்லை	these schools cuts are none of darcos business
எனவே வற்றை சுத்தமாக வைத்திருப்பது முக்கியம்	it is very important therefore to keep it clean
ரசிகர்களை ஈர்க்கிறது	draws fans
என்னும் தொனிப் பொருளில் வீதி நாடகம் ஒன்று ஏற்பாடு செய்யப்பட்டு நடத்தப்பட்டது	a street play was staged on the occasion
தனியொருவருக்கு அது முழுமையாகத் தெரியாது	one really doesnt know
இதுகுறித்து அவர் படப்பிடிப்பில் ஒரு வித்தியாசமான அனுபவம் எனக்கு கிடைத்தது	i had a really nice experience shooting for the film
பிரதேச ஒருங்கிணைப்பு குழு	divisional coordination committee
ஆனால் அப்படியேதும் நிகழவில்லை	but it didnt happen so
சொன்னால் புரியுமா	do you understand
கர்த்தாவே உமது செவியைச் சாய்த்து என் விண்ணப்பத்தைக் கேட்டருளும் நான் சிறுமையும் எளிமையுமானவன்	bow down your ear o lord hear me for i am poor and needy
நான் இதில் பயங்கரவாதத்தை பற்றியே கூறுகிறேன்	i am talking about terrorism
அந்தத் தீர்மானம் செயற்படுத்தப்பட வேண்டியது அவசியம்	that decision has to be taken
பிரதமர் அலுவலகம் டாக்டர் ஏபிஜே	prime ministers office pm to inaugurate dr
இருவரும் பத்மாவத் பஜிரோ மஸ்தானி என படங்களில் ஒன்றாக இணைந்து நடித்தனர்	theyve worked together on two other films padmaavat and bajirao mastani
ஆனால் பலன் கிட்டவில்லை	but it didnt work
அவருக்கு என மனமார்ந்த நன்றிகளை தெரிவித்துக் கொள்கிறேன்	i am very thankful to him
இதில் பாஸ்கர் சம்பவ இடத்திலேயே இறந்தார்	basheer died on the spot
எந்த இடத்ல கட்றாங்க	which place is this
இங்கே அரை மனதோடு தன்னுடைய வேலையை அணுகுவதற்கு அவனுக்கு இடமில்லை	there was no room here for a halfhearted approach to his assignment
இன் மற்றும் ஆஃப்லைன் ஸ்டோர்ஸ்களிலும் கிடைக்கும்	available in bookshops and online
இணைய கணக்கு	online accounts
பொதுச் சொத்துகளும் நாசமாக்கப்பட்டன	public properties have also been damaged
பிரபாஸ் ராணா அனுஷ்கா நடிக்கின்றனர்	and lead actors prabhas anushka and rana daggubaati
விண்டோஸ் 10 பிசியில் எட்ஜ் ப்ரவ்ஸர் மூலமாகவும் நிகழ்வினை நேராக கண்டு களித்தனர்	those who wish to catch the event from a windows 10 pc can do so via the edge browser
பள்ளி மாணவியர் விடுதி பாலக்கோடு	school girls hostel palacode
சிவக்குமார் விஜயன் ஒளிப்பதிவு செய்துள்ளார் கே எல் பிரவீன் படத்தொகுப்பு செய்துள்ளார்	sivakumar vijayan is helming the films camera work
16 வருடம் ஆகியும் மாறாத காதல்	the couple split up after 16 years
6184 பேர் குணம் அடைந்துள்ளனர்	of cured people becomes 6184
எனக் கூறிச் சென்றனர்	it said
அதற்காக சென்னை வந்துள்ள ராஜசேகர் தம்பதி இன்று நிருபர்களை சந்தித்தனர்	the rajasekhars have come to chennai for that and met the press
முழுக்கவும் சரியே	its totally okay
இது என்ன வாழ்வு	what is this life
இதை நாங்கள் வெளியே தெரிவிக்க விரும்பவில்லை	we dont want to express it
ஆனால் அவற்றில் எதுவும் குறிப்பிடத்தக்க பெறுபேற்றை ஏற்படுத்தவில்லை	but none of them yielded results
மும்பையில் உள்ள பஞ்சாப் நேஷனல் வங்கியில் ரூ	punjab national bank in mumbai
பழமையான இலக்கியங்கள் தமிழில் வளர்வதற்கு இந்த முற்கால பேரரசுகள் ஆதரவளித்தன	these early kingdoms sponsored the growth of some of the oldest extant literature in tamil
என்று சொன்னார் ஒரு முறை	he had once said
அது நவீனத்துவ அனுபவம்	it is a new experience
1900 ல் சுவிசேஷகரும் நோபல் பரிசு பெற்றவருமான ஜான் R	in 1900 evangelist and nobel prize winner john r
இவர் தாய்லாந்தைச் சேர்ந்தவர்	he is from tamil nadu
இந்தியாவும் பாகிஸ்தானும் ஒத்துமையா இருக்கணுமா	are pakistan and india the same
இது தொடர்பான விசாரணை தேர்தல் ஆணையத்தில் நடைபெற்று வருகிறது	a case is pending at the elections commission
இப்போதும் அவன் சிரித்தான்	he kept smiling
5 லட்சத்திற்கும் மேற்பட்ட இந்தியர்கள் சிங்கப்பூரில் வசிக்கின்றனர்	over 350000 indians stay in singapore
பிரதமர் அறிவித்தபடி ரூ	the chief minister announced rs
ரட்சகன் ஸ்ரீதர் இசையமைக்கும் இப்படத்திற்கு மணிகண்ட ராஜா ஒளிப்பதிவு செய்கிறார்	the movie is being directed by srinath rajendran
அதுபோல மூப்பர்களும் சபையாரிடம் அவர்களாகவே சென்று பேசுகிறார்கள்	likewise elders today take the initiative to approach their fellow believers and speak to them
இருவருமே அதிர்ந்தனர்	they were both shocked
25 க்கும் மேற்பட்டோர் படுகாயம் அடைந்தனர்	more than 25 people were injured
உன்னவே சோரும்	you are you
உ பி – யின் எடா மாவட்டத்தில் சாலை விபத்தில் உயிர் இழப்பு – பிரதமர் வருத்தம்	pm expresses pain over the loss of lives in road accident in etah district of up
புவி வெப்பமடைதலில் கால்நடைகளின் தாக்கம் ஐநா அறிக்கை	animals affected by the earth heatingun announcement
அதைப் பார்த்து அந்த ஊர் மக்கள் ஆச்சரியப் பட்டனர்	people were thrilled to see it
உடல் நிலை சிறப்பாக இருக்கும்	health will be better
இவருக்கு சில மாதங்களுக்கு முன்பு உடல் நலம் பாதிக்கப்பட்டது	he was ailing for few months
தம்பதியருக்கு பைபிள் தரும் ஆலோசனைக்கு இது முரணாக இருக்கிறது	following the bibles counsel prevents sex from becoming a fantasy fueled act of lust and selfishness
இல்லை இளவரசே	no sir
பலவகைப்பட்ட மனிதர்களுடன் பழகுவதில் உங்களுக்கு ஆர்வம் உண்டா	do you like interacting with people
வழக்கறிஞர் மனோகர் லால் சர்மா இந்த வழக்கை தொடுத்து இருந்தார்	the plea was filed by lawyer manohar lal sharma
ஆனால் மக்களுக்கு அது குறித்தான விழிப்புணர்வு மிகவும் குறைவாக உள்ளது	but there is not enough awareness among public
பகுப்புசென்னை சுற்றுப் பகுதிகள்	division surrounding places of chennai
அம்மா பெயர் லட்சுமி	his mothers name is lakshmi
அவர் பின்னர் இந்த வழக்கை அக்டோபர் 19 வரை ஒத்திவைத்தார்	he then postponed the case until october 19 without directing the police or naval personnel to be present
நல்ல பெற்றோர்கள் நல்ல மேய்ப்பர்கள் 9 15	how elders ministerial servants appointed
ஆங்கிலம் வங்காள மொழி இந்தி மராத்தி எசுப்பானியம் ஆகிய மொழிகளையும் பேசுவார்	he wrote in bengali hindi english sanskrit and assamese also
வளர்ச்சிப் பணிகளும் முடங்குகிறது	development work is at a standstill
விதையும் விதைப்பும்	sowing and harvesting
ஆனா அதுமாதிரி தெரியலை	but i dont know
எல்லாவற்றையும் அலசுவோம்	layer everything
ஆனால் கஜானாவில் பணமில்லை	but there is no money
இது தான் நாம் கனவு கண்ட இந்தியாவா இவ்வாறு அவர் கேள்வி எழுப்பி உள்ளார்	is this the india of our dreams
ஒரே நேரத்தில் தமிழ் மற்றும் இந்தியில் உருவாகி வரும் படம் யாவரும் நலம்	the film is simultaneously being made in tamil and hindi
ஆகவே அதில் எந்தத் தவறும் இல்லை	a person who is not sure of what he can achieve might muse about these things without any competitive urge or tinge of envy
அவளுடைய சுயதியாக மனப்பான்மைக்காக மிகுந்த போற்றுதலுக்குத் தகுதியுடையவள்	many drive automobiles but others get from one place to another by public transportation by bicycle on horseback or on foot
இதன்மூலம் பாகிஸ்தான் அணிக்கு எதிரான ஆட்டத்தில் 89 ரன்கள் வித்தியாசத்தில் இந்திய அணி அபார வெற்றிபெற்றது	india claimed victory by 89 runs against pakistan
இதற்கான மென்பொருள் தயாரிக்கப்பட்டு பயனர் ஏற்பு சோதனையும் நிறைவு பெற்றுள்ளது	the software development has been done and the user acceptance testing has been completed
இது இந்திய அளவில் பெரும் வரவேற்பைப் பெற்றுள்ளது	it is widely celebrated in india
இங்குள்ள எங்கள் ஊழியர்களுக்கு நம்பமுடியாத ஆதரவு	unbelievable support for our staff here
என்று மனதுக்குள் சிரித்துக் கொண்டாள்	she laughs
தேவை என்றால் தேனை சிறிது சேர்த்துக் கொள்ளலாம்	add a little oil if required
10 லட்சமும் அதிமுக சார்பில் ரூ।	10 lakh and rs
அது ஒரு பெருவலிதான்	it is a biggie
இது சிறுவர்களின் வாழ்க்கை வளத்தை நேரடியாக பெருக்குகிறது	and that directly increased student wellbeing
கடாயில் எண்ணெயை சூடாக்கி பட்டை கிராம்பு ஏலக்காய் தாளிக்கவும்	in a pan heat butter and add cardamom cloves and cinnamon
இது போதாதா	this is not right
இந்த மரத்தை வெட்டாமல் விடுகிறேன்	dont cut down that tree
மதத்தின் அடிப்படையில் தீர்மானிக்க வேண்டாம்	cannot discriminate on the basis of religion
அந்த வீ‌ட்டை வாடகைக்கு விட்டுள்ளனர்	the house has been rented out
பாதுகாப்பு அம்சங்களில் சிக்கல் இல்லை	no safety issue
இதில் 16 பேர் சம்பவ இடத்திலேயே இறந்தனர்	as many as 16 persons died on the spot
படத்திற்கு ஏ ஆர் ரஹ்மானின் இசையமைத்து இருந்தார்	r rahman has composed the music of the film
வெளியான ரகசியம்	secret revealed
தேர்தல் சீட் கேட்டு பெங்களூர் காங்	go out and vote bangalore
1800 கோடி	1800 crore
னு கேட்டாராம்	i asked
மதிப்பு ரூபாய் இலட்சத்தில்	value rs in lakhs
நானும் அதையே தான் சொல்கிறேன்	thats what i say
பெலிஸ்த ராட்சதனாகிய கோலியாத்தை வீழ்த்த தாவீதுக்கு யெகோவா உதவினார்	as time went by jehovah proved to be with david
அது போலத்தான் கோயில்களும்	similar is the case with temples
சிஏஜி அலுவலகத்தில் அவர் மகாத்மா காந்தி பிஆர்அம்பேத்கர் சிலைகளுக்கு மலர் மரியாதை செலுத்தினார்	he then offered floral tributes at the statues of mahatma gandhi and b r ambedkar at the cag office
நான் தான் தலைவன்	i am the leader
தகவல் கிடைத்ததும் போலீசாரும் ராணுவ வீரர்களும் விரைந்து வந்தனர்	after receiving information police and fire brigade officials rushed to the spot
க்காக ஏதும் செய்யவில்லை	didnt make anything
இதனால் கட்சித் தலைமை கடுப்பாகி விட்டது	this has mobilised the leadership of the party
மாப்பிள்ளை கதை	marriage story
எங்கே கிடைக்கும் என்று தெரிந்தால் சொல்ல முடியமா	can you tell where
இது இந்தியாவில் உள்ள கிராமப்புறங்கள் முழுமைக்கும் வங்கி சேவையை விரிவுபடுத்தும்	this will spread a network of banks across rural india
இந்த முறை கோச்சடையான் விதிவிலக்கு	this time is no exception
அதற்குப்பின் சீக்கிரத்திலேயே வேறொரு கடிதம் வந்தது	shortly thereafter i received another letter
தலைவராகவும் இருந்தவர்	he was chairman
இன்னுமொரு கதாநாயகியும் படத்தில் உண்டாம்	the film has no heroine
அவரைப்பற்றி அறிந்ததில்லை	i didnt know him
சத்து நிறைந்த உணவு வகைகளை உண்பதால் உடல்நலம் சீராக இருக்கும்	eating a balanced diet will improve health
அரசை பாராட்டி தீர்மானம்	government resolution
அவனும் போனிலேயே அழ ஆரம்பித்தான்	he started crying also
சுற்றுப்பயண நோக்கம்	travel goal
எதை நீ இல்லை	what you dont get
நடப்பு ஆவண பார்வையை மூடு	this file was changed deleted on disk by another program
ஹௌஸ் லைஃப்	zest of life
அப்படியென்றால் உதவிக்காக நீங்கள் யாரை நாடலாம்	even teasing about baby fat or the normal growth spurt of adolescence can sow seeds of trouble in the mind of an impressionable youth
தான் அந்தத் தொகையைக் கொடுக்க விரும்புவதாக கூறினார்	he made arrangements for me to meet with the brothers in our congregation
இது எமது மக்களின் கேள்வியாக உள்ளது என தெரிவித்தார்	this is the peoples issue
இந்தியாவுடன் பேச்சே இல்லை இம்ரான்கான்	no point talking to india says imran khan
ஆகையால் அவர் ஞானஸ்நானம் பெற்றது அர்ப்பணம் செய்ததற்கு அடையாளமாக இருக்கவில்லை	still at his baptism he did something more than what was required under the law
30 லட்சம் வரை நஷ்டத்தைத் தந்தது	30 lakh and over rs
அதில் சிவராம் ஹெப்பர் ஒருவர்	one of them is shiva kumar
ஊழியம் செய்யும்போது ஒருவருக்கொருவர் பேசுவதைக் குறித்து ஏன் கவனமாய் இருக்க வேண்டும்	still we want to remember that our purpose in engaging in the field ministry is to preach to others
பலமுறை நான் இதை நினைத்ததுண்டு	ive often wondered about this
கோஹ்லி காதலியும் ஹீரோயினுமான அனுஷ்கா ஷர்மா அப்துல் கலாம் மறைந்த செய்தி கேட்டு பெரும் வருத்தமடைந்தேன்	anushka sharma very sad to hear about the passing of apj abdul kalam
பள்ளி மாணவியர் விடுதி தேனி	school boys hostel thenkasi
அதன் வழி வெற்றியையும் கண்டார்	he found a way to succeed
தமிழன் தானே	you are tamil
இருவகையான அபிப்பிராயங்கள் தற்போது நிலவுகின்றன	there are two views on this
தொலைக்காட்சி சேனல்களில் அவரது வாக்குமூலம் வெளியானது	their statements were broadcast on tv channels
எனும் பிரச்னை கிளம்பியது	the problem is gone
எனக்குச் சொந்த ஊர்திண்ண னூர்	i am my own man
இதையடுத்து அந்த பெண் போலீசில் தந்தை மீது புகார் கொடுத்தார்	the girls mother then lodged a complaint with the police
ஆனால் விக்கெட் எடுக்கவில்லை	but it was not taken
அதனால் மீண்டும் பிரமராகி விடலாம் என்று நினைக்கும் நரேந்திர மோடியின் கனவு பலிக்காது	narendra modis dream of becoming the prime minister of india will not come true
ராகாப்	this former prostitute became an ancestress of jesus
20062007 ஆம் ஆண்டிலிருந்து பதிவு செய்யப்பட்ட ஆவணங்கள் மற்றும் ஈட்டப்பட்ட வருவாய் விவரம் பின்வருமாறு	details of documents registered and revenue earned from the year 20062007 are as follows
ஆசிரியராக	as authored
26 குற்றவாளிகள் கைது	26 arrested
பீம் செயலியை அறிமுகப்படுத்த அரசு நடவடிக்கை எடுத்தது	the government took initiative to develop bhim app
அசாமின் குவகாத்தி என்ற செயற்கைக்கோள் நகரமான கணேஷ்குரியில் இவர்கள் குடும்பம் வசித்து வருகிறது	the family lives in ganeshguri a satellite town of guwahati assam
ஆனால் அது மட்டுமே போதுமானது அல்ல	but that alone is not enough
ஆனால் தவிர்க்க முடியாத காரணங்களால் அவர்களின் உறவு முறிந்துவிட்டது	however due to reasons unknown their relationship went kaput
நரேந்திர மோதி இந்தியாவின் தந்தை டிரம்ப் புகழாரம்	father of india trump compliments pm modi for bringing torn india together
இங்குள்ள தேவர்கள் எங்கிருந்து வருகிறார்கள்	where did these people come from
ரசிகர்கள் உருக்கம்	fans are curious
ஒவ்வொரு காற்றிதழும் தனக்கேயுரித்தான பண்புகளைக் கொண்டிருக்கும்	each region has its own distinctive characteristics
இரண்டும் மிக அற்புதமென்று	both are wonderful
பின்னர் அவருக்கு இதய அடைப்புக்கான ஆஞ்சியோ செய்யப்பட்டது	he then had a fatal cardiac arrest
வசுந்தரா ராஜேவிடம் பா ஜ க தலைவர் அமித் ஷாவும் ஆலோசனை நடத்தி இருக்கிறார்	amit shah meets pm modi discusses vasundhara raje issue
மாநிலங்களவை எம் பி வீரேந்திரகுமார் மரணம்	mp veerendra kumar passes away
குடிநீர் மலிவாகக் கிடைப்பதில்லை	some producers promise mental and bodily fitness health and beauty
அவர் தற்கொலை செய்துகொண்டார் என்பதை நம்பமுடியவில்லை என்று அவரது தோழிகள் கூறுகின்றனர்	i dont believe she could have killed herself he said
வாணிபம் பெருகும்	the roar increases
இது கோழைத்தனமான நடவடிக்கையாகும்	thats a cowardly act
மேலும் நோய் எதிர்ப்பு சக்தியை வளர்க்கும்	it also increases your immunity
பாகிஸ்தானிய பயங்கரவாதிகள் மீது இந்தியா ஆகாயத் தாக்குதல்	pakistan infiltrating terrorists in india
யார் இந்த நந்தி	who is this fella
அவர்மீது குற்ற விசாரணை நடத்தாமல் பாதுகாப்பதற்கு CIAம் துணை நின்றுள்ளது	the cia had also shielded the nazi mass murderer from prosecution
ஆனால் அன்றைய தினம் மாலையில் அந்த நபர் பலியானார்	however the man died that afternoon
வருமான வரி	income tax expenses
வடக்கு யுவான் மீது சோதனை படையெடுப்புகள் நடத்துவதை மிங் அரசமரபினர் நிறுத்திக் கொண்டனர்	the ming ceased its raids into the northern yuan
தானியேலின் மாம்சப்பிரகார சகோதரர்களான யூதர்கள் அல்ல	they had been rejected because they lacked faith and stumbled over the messiah
அதன்படியே இந்த அறிவிப்பும் செய்யப்பட்டது	a notification was issued accordingly
இந்த ஆசனத்தை செய்வதால் மனம் அமைதி அடையும்	by doing this asana the mind becomes calm and you get peace of mind
ஆனால் கவனிக்க வேண்டிய இன்னொரு விஷயமும் உண்டு	this is true whether the overall suicide rate in a given country is high or low as the box on the preceding page shows
கல்லூரி மாணவியர் விடுதி குறும்பலுார்	college girls hostel kurumbalur
பயிற்சி 1 நிமிர்ந்த நிலையில் நாற்காலியில் அமர வேண்டும்	step 1 sit erect and stand erect
எங்கள் இதயத்தின் தனியிடத்தில் இந்தியா உள்ளது	india is our home
என காரசாரமாக தெரிவித்தார்	he said
அகத்துறுப் பன்பில் அவர்க்கு	is she in love
இயக்குநர் வேலைவாய்ப்பு மற்றும் பயிற்சித்துறை கிண்டி சென்னை 32	director department of employment and training chennai32
கர்நாடக கூட்டணி அரசில் விரிசல்	the demise of karnatakas coalition government
வெண்டை ஒரு குறுகிய கால காய்கறி பயிர்	onion is a shortduration crop
பட்டப் படிப்பினை முடித்து பின் சட்டப் படிப்பினையும் முடித்தார்	after weaving it was fulled using the fullers earth and then dried
PDF ஆவணங்கள்	pdf documents
ஆனால் மேலதிக தகவல்களை தெரிவிக்க நிர்வாகிகள் மறுத்து வருகின்றனர்	but the officials refused to reveal details
எல்லாம் இருந்தும் ஏன் மகிழ்ச்சி இல்லை	why are you not happy
அதற்கு தேவையான நடவடிக்கைகளை எடுத்து வருகிறேன்	i will take the necessary steps
500 கோடிக்கு திட்டம் வர வாய்ப்புள்ளது	the project is worth rs 500 crore
இத நான் எப்பவோ செஞ்சிருக்கணும்	ive always done this
18 லட்சம் மாயம்	18 lakh
இந்துமதம் சார்ந்த என் அணுகுமுறை எப்போதுமே கறாரான	my approach is always indian
சட்டத்தை மதிப்பவர்கள் நாங்கள்	we are the law keepers
அந்த நளினம் எனக்குப் பிடித்திருந்தது	i loved that moment
இதில் ஏராளமான பக்தா்கள் கலந்துகொண்டு தரிசனம் செய்தனா்	a large number of devotees participated in the puja
தொழிற் சங்கங்கள் பூரண சரணாகதி	trade union prostration
இதில் கடும் அதிருப்தியில் காங்கிரஸ் இருந்து வந்தது	the congress was outraged
அறநிலையத்துறை சார்பில் செய்யாறு தொகுதியில் திருப்பதிக்கு பாதை யாத்திரை செல்லும் பக்தர்களின் வசதிக்காக ரூ	for a donation of rs
போதிய வேலைவாய்ப்பை உருவாக்காத அரசு	the government has failed to create enough jobs
அதிர்ச்சியில் விவசாயிகள்	farmers agitated
அடுத்து வரும் பொருட்பாலில் அரசு இயல் அமைச்சு இயல் ஒழிபு இயல் ஆகிய இயல்கள் இருக்கின்றன	next come to porutpal arasu iyal amaichu iyal olibu iyal of all have things
